名前,スタート,独走力,追い込み力,雨巧拙,コース
青嶋裕治,2,3,2,3,イン
青島正樹,4,4,4,4,イン
赤堀翼,3,3,2,2,イン
浅田真吾,3,4,3,4,イン
浅野浩幸,3,3,2,1,自在
石貝武之,4,3,2,2,アウト
伊藤信夫,4,5,5,3,アウト
今田真輔,2,3,2,2,アウト
岩科鮮太,3,4,4,4,イン
岩本君男,3,2,1,3,自在
遠藤誠,4,3,3,4,イン
岡谷美由紀,3,3,2,2,イン
落合巧,3,4,3,2,イン
笠木美孝,4,4,3,4,イン
片岡信之,2,1,1,1,アウト
金子大輔,4,5,5,5,アウト
金田悠伽,3,3,2,2,アウト
上村敏明,3,1,1,3,アウト
木村武之,5,5,5,4,イン
木村直幸,3,2,2,2,イン
栗原佳祐,3,5,2,3,イン
小林悠樹,3,3,3,1,アウト
小林頼介,2,2,2,2,イン
斎藤正悟,3,3,2,4,アウト
斎藤努,3,2,2,3,イン
佐藤貴也,5,4,5,5,アウト
佐藤大地,4,4,3,3,イン
柴田健治,4,3,3,3,アウト
柴田紘志,2,3,3,4,アウト
下平佳輝,4,2,2,4,アウト
城山英文,2,1,1,2,自在
鈴木章夫,3,3,2,3,アウト
鈴木一馬,3,4,2,3,イン
鈴木圭一郎,5,5,5,5,アウト
鈴木啓示,2,2,1,2,イン
鈴木健吾,3,3,3,2,アウト
鈴木静二,4,3,3,3,アウト
鈴木辰己,4,2,2,2,アウト
鈴木宏和,5,5,4,3,アウト
関口隆広,2,3,3,2,アウト
辰巳裕樹,4,3,3,2,アウト
田中竜二,3,1,1,3,アウト
筒井健太,3,4,2,2,自在
角貝拓海,3,2,1,1,アウト
戸塚茂,3,2,1,2,自在
仲口武志,3,3,3,4,アウト
中野肇,1,1,1,3,アウト
中村友和,3,4,4,2,イン
中村晋典,3,3,2,2,イン
西翔子,3,4,2,4,アウト
西川頼臣,2,3,2,2,イン
野上史豪,2,2,1,4,アウト
野田光宏,3,2,2,3,アウト
橋本優一,3,2,2,2,アウト
橋本陽介,2,1,1,1,イン
長谷晴久,2,3,3,3,アウト
花田一輝,3,4,3,2,アウト
早津圭介,1,1,1,1,イン
馬場雄二,2,1,1,1,アウト
兵頭寛和,1,1,1,1,アウト
平塚雅樹,4,3,2,4,イン
広瀬豪彦,2,2,1,3,イン
深谷俊太,3,4,3,2,イン
藤波直也,3,3,3,3,イン
牧野竜人,1,2,1,1,イン
交川陽子,3,2,1,2,アウト
桝崎星名,4,2,1,2,アウト
松山茂靖,4,4,3,3,イン
山浦博幸,3,4,3,2,イン
山脇孝志,2,3,2,1,アウト
吉田富重,1,1,1,2,アウト
吉林直都,2,4,2,2,アウト
米里崇徳,4,4,3,3,イン
渡辺篤,4,4,3,3,イン
和田健吾,3,3,3,2,
