名前,スタート,独走力,追い込み力,雨巧拙,コース
青山文敏,3,3,2,3,イン
秋吉忠幸,3,2,2,3,アウト
阿部仁志,4,3,3,4,イン
荒尾聡,5,4,4,5,アウト
有吉辰也,5,4,4,5,アウト
石本圭耶,4,3,3,2,自在
稲原瑞穂,2,2,1,2,イン
井上智詞,2,3,2,2,イン
井村淳一,3,3,4,3,アウト
岩見貴史,5,4,4,4,イン
岩元毅,2,2,1,2,アウト
内山雄介,3,3,3,3,アウト
浦田信輔,5,4,4,3,イン
占部健太,3,3,2,3,イン
大久保哲司,2,1,1,1,自在
越智尚寿,4,3,3,3,イン
片岡賢児,4,2,2,2,イン
鐘ケ江将平,4,4,3,4,自在
川口裕司,3,4,3,3,イン
川端孝,3,2,2,2,アウト
北原岳哲,3,4,3,4,アウト
城戸徹,2,2,1,1,アウト
木山優輝,3,4,4,3,イン
小里健太,2,2,2,3,アウト
桜木公和,3,3,4,4,イン
佐藤裕児,3,3,2,3,アウト
篠原睦,5,4,4,4,イン
新村嘉之,3,3,2,4,アウト
高林亮,3,4,2,3,イン
高宗良次,4,4,3,4,イン
滝下隼平,3,5,5,3,イン
竹谷隆,4,4,3,5,アウト
竹中修二,3,2,2,2,自在
田島敏徳,2,3,2,3,アウト
田中茂,3,4,4,4,アウト
田中進,3,5,3,3,イン
田中輝義,3,3,3,4,イン
田中正樹,4,4,3,3,イン
辻大樹,4,4,3,4,イン
道智亮介,3,3,2,3,アウト
中尾貴志,4,4,3,4,アウト
中原誠,3,3,2,2,アウト
中村杏亮,4,5,4,4,アウト
中村颯斗,3,4,2,2,アウト
長田稚也,4,5,5,3,イン
西村昭紀,2,3,1,3,アウト
丹村司,3,4,3,3,アウト
根本将人,3,3,3,3,アウト
花元初美,2,2,2,2,アウト
浜野翼,1,3,1,4,アウト
東小野正道,4,3,3,3,アウト
久門徹,5,3,3,3,イン
藤川幸宏,4,3,2,4,イン
藤川竜,4,3,2,3,イン
別府敬剛,4,4,4,4,アウト
帆景岬,1,2,1,1,アウト
牧瀬嘉葵,3,4,4,4,アウト
桝崎陽介,3,4,3,4,イン
町田龍駿,3,3,2,3,アウト
松尾隆広,3,4,3,4,イン
松尾学,3,1,1,2,アウト
水口寿治,3,3,1,3,アウト
水崎正二,3,2,2,3,イン
水本竜二,2,3,3,3,アウト
宮地朗,3,2,2,1,アウト
村瀬月乃丞,2,4,2,3,アウト
室田泰利,3,3,1,3,アウト
本門延唯,3,2,1,2,アウト
森本優佑,3,3,4,4,アウト
吉川麻季,2,2,1,2,イン
吉松優輝,4,4,2,2,アウト
佳元光義,3,3,2,2,アウト
