名前,スタート,独走力,追い込み力,雨巧拙,コース
青山周平,5,5,5,5,アウト
浅香潤,4,4,3,3,イン
新井恵匠,4,4,4,4,アウト
新井淳,5,3,3,2,イン
新井日和,4,4,2,2,自在
新井裕貴,3,3,2,3,アウト
荒川哲也,3,3,2,2,アウト
石川岳彦,2,2,2,2,イン
石川哲也,3,5,3,2,イン
伊藤正司,3,3,3,2,アウト
伊藤正真,4,4,4,3,イン
伊藤弘幸,3,2,2,4,イン
伊藤幸人,3,1,1,2,イン
猪熊龍太,2,3,2,2,アウト
岩田行雄,4,3,3,3,イン
岩沼靖郎,4,3,2,3,イン
内越忠徳,3,2,2,3,アウト
内山高秀,4,4,4,3,アウト
生方将人,2,3,2,3,自在
大月渉,3,3,3,3,アウト
押田和也,3,3,3,3,アウト
小田雄一朗,1,3,2,1,アウト
落合淳,3,3,3,4,イン
笠原三義,3,2,2,2,イン
金山周平,3,3,2,4,イン
亀井政和,3,3,2,2,アウト
菅野仁翔,3,4,2,3,イン
北爪勝義,3,3,2,2,自在
北渡瀬充,3,3,2,3,アウト
木部匡作,3,2,2,2,イン
木村享平,2,4,2,2,自在
木村義明,4,2,3,3,イン
清岡優一,3,3,2,3,イン
栗原勝測,3,2,2,4,自在
栗原俊介,3,4,3,3,イン
小林晃,2,2,2,2,自在
佐久間健光,3,4,4,3,イン
桜井晴光,3,4,3,3,イン
猿谷敦史,3,2,2,3,アウト
宍戸幸雄,2,2,2,2,イン
芝崎茂信,3,2,3,3,アウト
渋沢憲司,4,3,3,2,イン
清水卓,4,2,2,3,アウト
白次義孝,2,4,2,2,アウト
鈴木幸治,3,3,2,4,アウト
鈴木清市,3,3,3,3,アウト
鈴木聡太,3,4,3,2,イン
鈴木将光,3,4,4,4,アウト
高橋絵莉子,5,3,2,4,イン
高橋貢,5,5,5,5,自在
高橋義徳,3,3,2,4,アウト
滝沢健,2,1,1,1,アウト
竹内正浩,3,3,2,2,自在
竹島繁夫,3,1,1,1,アウト
竹本修,3,3,2,2,アウト
田崎萌,3,4,2,2,イン
田中賢,4,4,3,4,アウト
田中哲,3,3,4,3,イン
谷川一貴,2,3,2,3,アウト
谷津圭治,4,4,4,3,イン
田村治郎,4,4,4,4,アウト
千葉泰将,3,3,2,1,イン
塚越浩之,3,3,3,3,アウト
戸塚尚起,3,3,2,2,アウト
仲田恵一朗,3,4,3,3,イン
中野光公,2,4,3,4,アウト
中村浩章,2,2,2,1,アウト
西原智昭,5,4,4,4,アウト
野沢守弘,3,2,2,2,アウト
野本佳章,5,3,3,4,アウト
早川清太郎,4,5,5,3,イン
林稔哲,3,3,2,3,イン
原田富夫,2,2,1,1,イン
深沢悟,2,2,2,2,アウト
藤本梨恵,3,3,2,3,アウト
保永高男,3,2,2,2,イン
松村真,2,2,2,1,アウト
松本康,4,4,4,4,アウト
松本渉,2,2,1,2,アウト
三浦康平,4,4,4,3,アウト
森村亮,3,4,3,3,アウト
矢内昌木,4,3,2,2,イン
山中充智,2,3,2,1,イン
湯浅浩,3,3,2,3,イン
横田翔紀,4,4,3,4,イン
吉田恵輔,4,3,3,5,イン
吉原恭佑,5,4,4,4,イン
米里信秀,4,2,2,2,イン
渡辺京二,2,2,2,1,
