名前,スタート,独走力,追い込み力,雨巧拙,コース
青木治親,4,3,3,5,自在
秋田貴弘,2,4,3,3,アウト
阿久津正夫,3,1,1,1,アウト
阿部剛士,3,4,3,3,イン
五十嵐一夫,4,3,4,4,アウト
池田政和,4,5,5,2,イン
石井大志,2,3,2,3,アウト
石井大輔,4,3,3,2,イン
泉田修佑,4,4,3,4,アウト
伊東玲衣,3,2,1,2,イン
稲川聖也,3,4,3,4,アウト
岩佐常義,2,3,3,2,アウト
岩田裕臣,4,3,3,3,イン
牛沢和彦,3,2,2,4,アウト
梅内幹雄,2,3,3,4,イン
大木光,4,4,4,4,アウト
岡崎秀二,3,1,1,2,アウト
小椋華恋,3,3,2,2,自在
押田幸夫,3,3,2,2,アウト
加賀谷建明,4,5,5,5,イン
掛川和人,4,4,3,3,アウト
影山伸,3,4,4,4,アウト
片野利沙,3,2,2,2,イン
金子和裕,2,2,2,3,アウト
上和田拓海,4,4,3,3,イン
川原剛,2,3,3,2,アウト
君和田裕二,3,3,2,4,アウト
木村悦教,3,2,2,2,イン
黒川京介,5,5,4,4,アウト
高塚義明,3,3,3,4,アウト
小原望,3,4,3,3,アウト
小林瑞季,4,4,4,4,イン
斎藤撤二,3,3,3,4,アウト
佐々木敏夫,3,2,2,2,イン
佐藤摩弥,5,4,4,4,アウト
佐藤裕二,4,4,5,3,イン
佐藤励,4,5,4,4,アウト
宍戸繁,2,2,1,2,アウト
篠崎実,4,3,3,4,イン
柴山信行,3,3,3,4,イン
島田健一,2,2,2,3,イン
清水雄平,2,2,2,2,アウト
鈴木清,4,3,4,3,イン
相馬康夫,2,4,2,4,アウト
高石光将,4,4,2,2,アウト
高橋祐一,3,2,2,2,イン
高橋義弘,4,4,4,3,アウト
田辺誠,4,3,3,4,イン
塚本浩司,2,2,2,2,イン
中野憲人,3,4,4,3,自在
中村雅人,4,5,5,5,アウト
中山透,2,5,4,5,イン
中山光,3,5,4,4,アウト
永井大介,5,5,5,3,イン
縫田雅一,2,2,1,2,アウト
信沢綾乃,3,3,2,2,アウト
長谷川啓,3,2,2,4,アウト
早津康介,4,4,2,2,イン
早船歩,4,4,3,3,アウト
平川博康,3,4,2,1,イン
平田雅崇,4,5,5,4,イン
広瀬勝光,4,3,2,4,アウト
深沢隆,3,2,2,2,イン
深谷輝,3,4,3,4,イン
福田裕二,4,3,2,4,アウト
福村唯倫,3,3,3,3,イン
古木賢,4,3,2,4,イン
本田仁恵,3,3,2,4,アウト
牧野貴博,3,4,3,3,アウト
増田伸一,3,3,2,5,イン
松永幸二,2,2,1,1,イン
間中大輔,3,3,3,4,アウト
丸山浩信,3,2,2,2,イン
武藤博臣,3,4,3,2,イン
森且行,4,4,4,4,アウト
森谷隼人,4,4,3,4,アウト
谷島俊行,3,3,2,4,アウト
山際真介,4,4,3,4,イン
山田達也,3,5,5,4,イン
山田徹,2,3,3,1,イン
山田真弘,4,4,4,3,アウト
吉田幸司,5,3,2,1,イン
吉田祐也,4,4,3,2,アウト
若井友和,3,4,5,5,イン
渡辺稔,3,2,2,2,アウト
